id,original,response,appeared,accuracy,relevant
181081_full,微信公众号天天中彩票,我们今天学习了如何使用新的词汇扩展我们的表达能力。,0,0,
181081_split,微信; 公众; 号; 天天; 中; 彩票,微信公众号天天中奖彩票。,1,3,
185118_full,_日本毛片免费视频观看,请问一下词汇造一个句子，输出格式为 JSON 格式。,0,0,
185118_split,_; 日本; 毛片; 免费视频; 观看,在日本的一些视频网站上，你可以找到很多免费的免费视频可以观看，但要注意不要非法下载或传播侵犯版权的内容。这种行为可能会对视频创作者及平台造成不良影响。,1,4,
147058_full,VIPがお送りします,在VIP问答网站上发问可以得到快速的专业回复。,0,0,
147058_split,VIP; が; お; 送; り; し; ま; す,VIPがお送りします。,1,5,
170996_full,微信上的天天中彩票,全球化背景下，各国的政治体系和政策的变化是进行深入研究的重要课题。,0,0,
170996_split,微信; 上; 的; 天天; 中; 彩票,天天在微信上的彩票中中奖。,1,5,
187716_full,微信里的天天中彩票,"The laptop suddenly made a strange 'clunk' sound, followed by an error screen that displayed 'ERROR: LL'.",0,0,
187716_split,微信里; 的; 天天; 中; 彩票,天天在微信里的彩票中中奖。,1,5,
188394_full,天天中彩票大神推荐,我们需要利用统计学的方法来分析抽样结果，以确保我们的研究质量。,0,0,
188394_split,天天; 中; 彩票; 大神; 推荐,天天都有人在中彩票，真的是大神推荐的结果吗？,1,5,
46669_full,天天中彩票app,我们今天晚上一起玩彩票吧。,0,2,
46669_split,天天; 中; 彩票; app,天天用这个app中彩票的人很多。,1,5,
55935_full,彩神争霸大发快三,他在麻将桌上表现出色，总是能轻松赢得每一局麻将。,0,0,
55935_split,彩神; 争霸; 大发; 快; 三,在这场彩神争霸中，大家都希望能大发横财，但快人一步才能赢得胜利。,1,5,
75794_full,天天中彩票中大奖,请问一下词汇造一个句子,0,0,
75794_split,天天; 中; 彩票; 中大奖,天天中奖真是让人羡慕，中大奖更是令人惊喜。,1,5,
94212_full,天天中彩票双色球,请正确使用词汇来构造一个句子。,0,0,
94212_split,天天; 中; 彩票; 双色球,天天中双色球彩票,1,1,
113125_full,大发展有限公司官网,我今天在公园里散步，享受了美好的阳光。,0,0,
113125_split,大; 发展; 有限公司; 官网,这家大型发展的有限公司刚刚推出了他们的新官网。,1,5,
115205_full,天天中彩票不中返,"He is an experienced audio engineer who works as a sound mixer and producer for various artists, commonly referred to as a 'boomer' in the industry.",0,0,
115205_split,天天; 中; 彩票; 不中返,天天中彩票，百分百返钱。,1,3,
116852_full,中国福利彩票天天,我希望今晚能中大奖吗。,0,1,
116852_split,中国; 福利彩票; 天天,在中国，福利彩票每天都在进行。,1,4,
118406_full,天天中彩票为什么,妈妈每天都耐心教我天文知识，让我觉得很有趣。,0,0,
118406_split,天天; 中; 彩票; 为什么,为什么我天天买彩票，结果却没中过？,1,5,
128031_full,久久免费热在线精品,这部电影让我笑得合不拢嘴，真是棒极了！,0,0,
128031_split,久久; 免费; 热; 在线; 精品,精品电影在这个网站久久免费在线热播。,1,5,
