id,original,response,appeared,accuracy,relevant
181081_full,微信公众号天天中彩票,我通过微信公众号天天中彩票参与了最新的彩票抽奖活动。,1,5,
181081_split,微信; 公众; 号; 天天; 中; 彩票,天天在微信公众号中关注彩票信息。,1,5,
185118_full,_日本毛片免费视频观看,对不起，我无法完成这个请求。,0,0,
185118_split,_; 日本; 毛片; 免费视频; 观看,许多人对日本文化感兴趣，选择免费视频进行观看以增广见闻。,0,3,
147058_full,VIPがお送りします,VIPが特別なイベントをお送りします。,0,5,
147058_split,VIP; が; お; 送; り; し; ま; す,VIPがお送りします,1,5,
170996_full,微信上的天天中彩票,我在微信上的天天中彩票小程序买了一张彩票。,1,5,
170996_split,微信; 上; 的; 天天; 中; 彩票,天天在微信上中彩票。,0,3,
187716_full,微信里的天天中彩票,小李最近在微信里的天天中彩票中赢得了一小笔奖金。,1,5,
187716_split,微信里; 的; 天天; 中; 彩票,天天在微信里关注中彩票的动态。,1,5,
188394_full,天天中彩票大神推荐,天天中彩票大神推荐每周都有不同的高手公布他们的中奖秘诀。,1,5,
188394_split,天天; 中; 彩票; 大神; 推荐,天天在中彩票的大神推荐中学习。,1,4,
46669_full,天天中彩票app,我通常使用天天中彩票app来购买彩票。,1,5,
46669_split,天天; 中; 彩票; app,天天在手机中的彩票app上尝试中奖。,1,4,
55935_full,彩神争霸大发快三,观众们纷纷议论起彩神争霸大发快三的合法性与道德问题。,1,5,
55935_split,彩神; 争霸; 大发; 快; 三,彩神争霸大发快三吸引了许多人参与。,1,5,
75794_full,天天中彩票中大奖,张先生在天天中彩票终于中了大奖，整个家庭都为此感到无比兴奋和幸福。,0,3,
75794_split,天天; 中; 彩票; 中大奖,天天在彩票中中大奖。,1,5,
94212_full,天天中彩票双色球,每周二、四、日，晚上九点，许多人都会关注天天中彩票双色球的开奖结果。,1,5,
94212_split,天天; 中; 彩票; 双色球,天天在中彩票的双色球活动里都很期待能中大奖。,1,5,
113125_full,大发展有限公司官网,请访问大发展有限公司官网获取更多信息。,1,5,
113125_split,大; 发展; 有限公司; 官网,这家有限公司通过官网发布了关于大规模发展计划的公告。,1,5,
